Year,Month,ProductCategory,Sales,Avg_Sales,Sales_Lag1,Event,Federal Holiday
2009,1,WomenClothing,1755.0,1215.4666666666667,4442.8,0.0,3.0
2009,1,MenClothing,524.0,1215.4666666666667,1032.8,0.0,3.0
2009,1,OtherClothing,936.0,1215.4666666666667,1477.2,0.0,3.0
2009,2,WomenClothing,1729.0,1308.4333333333334,1755.0,1.0,1.0
2009,2,MenClothing,496.0,1308.4333333333334,524.0,1.0,1.0
2009,2,OtherClothing,859.0,1308.4333333333334,936.0,1.0,1.0
2009,3,WomenClothing,2256.0,1626.1333333333334,1729.0,1.0,0.0
2009,3,MenClothing,542.0,1626.1333333333334,496.0,1.0,0.0
2009,3,OtherClothing,921.0,1626.1333333333334,859.0,1.0,0.0
2009,4,WomenClothing,2662.0,1730.2333333333333,2256.0,2.0,0.0
2009,4,MenClothing,669.0,1730.2333333333333,542.0,2.0,0.0
2009,4,OtherClothing,914.0,1730.2333333333333,921.0,2.0,0.0
2009,5,WomenClothing,2732.0,1736.4666666666667,2662.0,1.0,1.0
2009,5,MenClothing,650.0,1736.4666666666667,669.0,1.0,1.0
2009,5,OtherClothing,989.0,1736.4666666666667,914.0,1.0,1.0
2009,6,WomenClothing,2220.0,1557.2666666666667,2732.0,1.0,0.0
2009,6,MenClothing,607.0,1557.2666666666667,650.0,1.0,0.0
2009,6,OtherClothing,932.0,1557.2666666666667,989.0,1.0,0.0
2009,7,WomenClothing,2164.0,1464.7333333333333,2220.0,0.0,2.0
2009,7,MenClothing,575.0,1464.7333333333333,607.0,0.0,2.0
2009,7,OtherClothing,901.0,1464.7333333333333,932.0,0.0,2.0
2009,8,WomenClothing,2371.0,1540.5333333333333,2164.0,0.0,0.0
2009,8,MenClothing,551.0,1540.5333333333333,575.0,0.0,0.0
2009,8,OtherClothing,865.0,1540.5333333333333,901.0,0.0,0.0
2009,9,WomenClothing,2421.0,1541.4333333333334,2371.0,0.0,1.0
2009,9,MenClothing,579.0,1541.4333333333334,551.0,0.0,1.0
2009,9,OtherClothing,819.0,1541.4333333333334,865.0,0.0,1.0
2009,10,WomenClothing,2579.0,1596.3666666666666,2421.0,1.0,1.0
2009,10,MenClothing,610.0,1596.3666666666666,579.0,1.0,1.0
2009,10,OtherClothing,914.0,1596.3666666666666,819.0,1.0,1.0
2009,11,WomenClothing,2521.0,1720.7333333333333,2579.0,1.0,2.0
2009,11,MenClothing,620.0,1720.7333333333333,610.0,1.0,2.0
2009,11,OtherClothing,955.0,1720.7333333333333,914.0,1.0,2.0
2009,12,WomenClothing,3390.0,2317.6,2521.0,3.0,3.0
2009,12,MenClothing,930.0,2317.6,620.0,3.0,3.0
2009,12,OtherClothing,1351.0,2317.6,955.0,3.0,3.0
2010,1,WomenClothing,2142.0,1215.4666666666667,3390.0,0.0,3.0
2010,1,MenClothing,476.0,1215.4666666666667,930.0,0.0,3.0
2010,1,OtherClothing,945.0,1215.4666666666667,1351.0,0.0,3.0
2010,2,WomenClothing,2413.0,1308.4333333333334,2142.0,1.0,1.0
2010,2,MenClothing,471.0,1308.4333333333334,476.0,1.0,1.0
2010,2,OtherClothing,869.0,1308.4333333333334,945.0,1.0,1.0
2010,3,WomenClothing,3102.0,1626.1333333333334,2413.0,1.0,0.0
2010,3,MenClothing,568.0,1626.1333333333334,471.0,1.0,0.0
2010,3,OtherClothing,941.0,1626.1333333333334,869.0,1.0,0.0
2010,4,WomenClothing,3569.0,1730.2333333333333,3102.0,2.0,0.0
2010,4,MenClothing,630.0,1730.2333333333333,568.0,2.0,0.0
2010,4,OtherClothing,1060.5,1730.2333333333333,941.0,2.0,0.0
2010,5,WomenClothing,3221.0,1736.4666666666667,3569.0,1.0,1.0
2010,5,MenClothing,627.0,1736.4666666666667,630.0,1.0,1.0
2010,5,OtherClothing,991.0,1736.4666666666667,1060.5,1.0,1.0
2010,6,WomenClothing,2756.0,1557.2666666666667,3221.0,1.0,0.0
2010,6,MenClothing,598.0,1557.2666666666667,627.0,1.0,0.0
2010,6,OtherClothing,984.0,1557.2666666666667,991.0,1.0,0.0
2010,7,WomenClothing,2749.0,1464.7333333333333,2756.0,0.0,2.0
2010,7,MenClothing,544.0,1464.7333333333333,598.0,0.0,2.0
2010,7,OtherClothing,937.0,1464.7333333333333,984.0,0.0,2.0
2010,8,WomenClothing,2807.0,1540.5333333333333,2749.0,0.0,0.0
2010,8,MenClothing,551.0,1540.5333333333333,544.0,0.0,0.0
2010,8,OtherClothing,897.0,1540.5333333333333,937.0,0.0,0.0
2010,9,WomenClothing,2919.0,1541.4333333333334,2807.0,0.0,1.0
2010,9,MenClothing,563.0,1541.4333333333334,551.0,0.0,1.0
2010,9,OtherClothing,839.0,1541.4333333333334,897.0,0.0,1.0
2010,10,WomenClothing,3071.0,1596.3666666666666,2919.0,1.0,1.0
2010,10,MenClothing,634.0,1596.3666666666666,563.0,1.0,1.0
2010,10,OtherClothing,930.0,1596.3666666666666,839.0,1.0,1.0
2010,11,WomenClothing,3276.0,1720.7333333333333,3071.0,1.0,2.0
2010,11,MenClothing,669.0,1720.7333333333333,634.0,1.0,2.0
2010,11,OtherClothing,1035.0,1720.7333333333333,930.0,1.0,2.0
2010,12,WomenClothing,4360.0,2317.6,3276.0,3.0,3.0
